Temperature;PID_Out;Proportional;Integral;Differential;SetPoint;Calculated temperature
108;0;0;0;0;200;108
108;0;0;0;0;200;109
108;0;0;0;0;200;109
108;0;0;0;0;200;110
109;0;0;0;0;200;111
109;65531;0;0;65531;200;112
109;65531;0;0;65531;200;112
109;5;10;0;65531;200;113
109;5;10;0;65531;200;113
109;15;20;0;65531;200;114
109;15;20;0;65531;200;114
109;15;20;0;65531;200;115
109;16;20;1;65531;200;115
109;16;20;1;65531;200;116
109;21;20;1;0;200;116
109;21;20;1;0;200;117
109;22;20;2;0;200;117
109;22;20;2;0;200;118
109;22;20;2;0;200;118
110;22;20;2;0;200;120
110;7;10;2;65531;200;120
110;17;20;2;65531;200;121
110;17;20;2;65531;200;121
110;18;20;3;65531;200;122
110;18;20;3;65531;200;122
110;18;20;3;65531;200;123
110;18;20;3;65531;200;123
110;18;20;3;65531;200;124
110;19;20;4;65531;200;124
110;24;20;4;0;200;125
110;24;20;4;0;200;125
110;24;20;4;0;200;126
111;24;20;4;0;200;127
111;20;20;5;65531;200;128
111;20;20;5;65531;200;128
111;20;20;5;65531;200;129
111;20;20;5;65531;200;129
112;20;20;5;65531;200;131
112;16;20;6;65526;200;131
112;16;20;6;65526;200;132
112;16;20;6;65526;200;132
112;16;20;6;65526;200;133
112;22;20;7;65531;200;133
112;22;20;7;65531;200;134
112;22;20;7;65531;200;134
112;22;20;7;65531;200;135
113;22;20;7;65531;200;136
113;23;20;8;65531;200;137
113;23;20;8;65531;200;137
113;23;20;8;65531;200;138
113;23;20;8;65531;200;138
113;23;20;8;65531;200;139
113;23;20;8;65531;200;139
113;24;20;9;65531;200;140
114;9;10;9;65526;200;141
114;24;20;9;65531;200;142
114;24;20;9;65531;200;142
114;24;20;9;65531;200;143
114;25;20;10;65531;200;143
115;25;20;10;65531;200;145
115;20;20;10;65526;200;145
115;20;20;10;65526;200;146
115;20;20;10;65526;200;146
115;25;20;10;65531;200;147
116;26;20;11;65531;200;148
116;21;20;11;65526;200;149
116;21;20;11;65526;200;149
116;21;20;11;65526;200;150
116;21;20;11;65526;200;150
117;12;10;12;65526;200;152
117;12;10;12;65526;200;152
117;22;20;12;65526;200;153
117;22;20;12;65526;200;153
117;22;20;12;65526;200;154
118;27;20;12;65531;200;155
118;28;20;13;65531;200;156
118;13;10;13;65526;200;156
118;23;20;13;65526;200;157
118;23;20;13;65526;200;157
119;28;20;13;65531;200;159
119;24;20;14;65526;200;159
119;24;20;14;65526;200;160
119;24;20;14;65526;200;160
120;24;20;14;65526;200;162
120;14;10;14;65526;200;162
120;29;20;14;65531;200;163
120;30;20;15;65531;200;163
121;30;20;15;65531;200;165
121;30;20;15;65531;200;165
121;30;20;15;65531;200;166
121;30;20;15;65531;200;166
122;30;20;15;65531;200;168
122;16;10;16;65526;200;168
122;26;20;16;65526;200;169
123;26;20;16;65526;200;170
123;21;20;16;65521;200;171
123;21;20;16;65521;200;171
124;27;20;17;65526;200;173
124;12;10;17;65521;200;173
124;22;20;17;65521;200;174
125;22;20;17;65521;200;175
125;22;20;17;65521;200;176
125;23;20;18;65521;200;176
126;23;20;18;65521;200;178
126;13;10;18;65521;200;178
126;23;20;18;65521;200;179
126;23;20;18;65521;200;179
127;28;20;18;65526;200;181
127;13;10;18;65521;200;181
128;24;20;19;65521;200;183
128;24;20;19;65521;200;183
128;24;20;19;65521;200;184
129;24;20;19;65521;200;185
129;24;20;19;65521;200;186
129;25;20;20;65521;200;186
129;25;20;20;65521;200;187
130;25;20;20;65521;200;188
130;25;20;20;65521;200;189
130;25;20;20;65521;200;189
131;15;10;20;65521;200;191
131;16;10;21;65521;200;191
131;31;20;21;65526;200;192
132;31;20;21;65526;200;193
132;26;20;21;65521;200;194
132;26;20;21;65521;200;194
132;27;20;22;65521;200;195
133;32;20;22;65526;200;196
133;27;20;22;65521;200;197
134;17;10;22;65521;200;198
