target temperature;Temperature;PID output;proportional part; integral part;differential part;Calculated temperature
200;52;0;0;0;0;52
200;52;0;0;0;0;52
200;52;0;0;0;0;53
200;51;8;6;0;2;53
200;52;2;0;0;2;54
200;52;8;6;0;2;54
200;52;8;6;0;2;55
200;52;14;12;0;2;55
200;52;14;12;0;2;56
200;52;14;12;0;2;56
200;52;15;12;1;2;57
200;52;15;12;1;2;57
200;52;13;12;1;0;58
200;52;13;12;1;0;58
200;52;13;12;1;0;59
200;52;14;12;2;0;59
200;52;14;12;2;0;60
200;52;22;18;2;2;60
200;52;14;12;2;0;61
200;52;15;12;3;0;61
200;52;15;12;3;0;62
200;52;15;12;3;0;62
200;52;15;12;3;0;63
200;52;15;12;3;0;63
200;52;16;12;4;0;64
200;52;16;12;4;0;64
200;52;14;12;4;65534;65
200;52;16;12;4;0;65
200;52;16;12;4;0;66
200;52;17;12;5;0;66
200;52;17;12;5;0;67
200;52;17;12;5;0;67
200;52;17;12;5;0;68
200;52;17;12;5;0;68
200;52;18;12;6;0;69
200;52;18;12;6;0;69
200;52;18;12;6;0;70
200;52;18;12;6;0;70
200;52;18;12;6;0;71
200;52;19;12;7;0;71
200;52;19;12;7;0;72
200;52;19;12;7;0;72
200;52;19;12;7;0;73
200;52;19;12;7;0;73
200;52;20;12;8;0;74
200;52;20;12;8;0;74
200;53;12;6;8;65534;75
200;52;26;18;8;0;75
200;53;18;12;8;65534;76
200;53;19;12;9;65534;76
200;53;19;12;9;65534;77
200;53;19;12;9;65534;77
200;53;19;12;9;65534;78
200;53;19;12;9;65534;78
200;53;20;12;10;65534;79
200;53;22;12;10;0;79
200;53;20;12;10;65534;80
200;54;14;6;10;65534;80
200;54;14;6;10;65534;81
200;54;20;12;10;65534;81
200;54;21;12;11;65534;82
200;54;21;12;11;65534;82
200;54;21;12;11;65534;83
200;54;21;12;11;65534;83
200;54;21;12;11;65534;84
200;54;22;12;12;65534;84
200;55;24;12;12;0;85
200;55;18;6;12;0;85
200;55;18;6;12;0;86
200;55;24;12;12;0;86
200;55;24;12;12;0;87
200;55;25;12;13;0;87
200;56;17;6;13;65534;88
200;56;23;12;13;65534;88
200;56;23;12;13;65534;89
200;56;23;12;13;65534;89
200;56;23;12;13;65534;90
200;57;15;6;14;65531;90
200;57;15;6;14;65531;91
200;57;21;12;14;65531;91
200;57;21;12;14;65531;92
200;57;24;12;14;65534;92
200;58;24;12;14;65534;93
200;58;16;6;15;65531;93
200;58;16;6;15;65531;94
200;58;22;12;15;65531;94
200;58;25;12;15;65534;95
200;59;16;6;15;65531;95
200;59;16;6;15;65531;96
200;59;22;12;15;65531;96
200;60;15;6;16;65529;97
200;60;21;12;16;65529;97
200;60;23;12;16;65531;98
200;60;23;12;16;65531;98
200;60;23;12;16;65531;99
200;61;15;6;16;65529;99
200;61;18;6;17;65531;100
200;61;24;12;17;65531;100
200;61;24;12;17;65531;101
200;62;18;6;17;65531;101
200;62;18;6;17;65531;102
200;62;24;12;17;65531;102
200;62;25;12;18;65531;103
200;63;19;6;18;65531;103
200;63;22;6;18;65534;104
200;63;28;12;18;65534;104
200;63;28;12;18;65534;105
200;64;19;6;18;65531;105
200;64;22;6;18;65534;106
200;64;29;12;19;65534;106
200;65;20;6;19;65531;107
200;65;26;12;19;65531;107
200;65;26;12;19;65531;108
200;66;18;6;19;65529;108
200;66;18;6;19;65529;109
200;66;24;12;19;65529;109
200;66;27;12;20;65531;110
200;67;19;6;20;65529;110
200;67;19;6;20;65529;111
200;67;27;12;20;65531;111
200;67;27;12;20;65531;112
200;68;21;6;20;65531;112
200;68;24;6;20;65534;113
200;69;22;6;21;65531;113
200;69;22;6;21;65531;114
200;69;28;12;21;65531;114
200;70;22;6;21;65531;115
200;70;28;12;21;65531;115
200;70;28;12;21;65531;116
200;70;29;12;22;65531;116
200;71;23;6;22;65531;117
200;71;29;12;22;65531;117
200;71;32;12;22;65534;118
200;72;23;6;22;65531;118
200;72;23;6;22;65531;119
200;73;23;6;22;65531;119
200;73;23;6;22;65531;120
200;73;30;12;23;65531;120
200;74;30;12;23;65531;121
200;74;24;6;23;65531;121
200;74;24;6;23;65531;122
200;75;22;6;23;65529;122
200;75;24;6;23;65531;123
200;75;30;12;23;65531;123
200;75;34;12;24;65534;124
200;76;25;6;24;65531;124
200;76;25;6;24;65531;125
200;77;23;6;24;65529;125
200;77;23;6;24;65529;126
200;78;20;6;24;65526;126
200;78;23;6;24;65529;127
200;78;29;12;24;65529;127
200;79;30;12;25;65529;128
200;79;21;6;25;65526;128
200;79;24;6;25;65529;129
200;80;21;6;25;65526;129
200;80;24;6;25;65529;130
200;81;24;6;25;65529;130
200;81;26;6;25;65531;131
200;81;32;12;25;65531;131
200;82;25;6;26;65529;132
200;82;31;12;26;65529;132
200;83;33;12;26;65531;133
200;83;25;6;26;65529;133
200;83;27;6;26;65531;134
200;84;25;6;26;65529;134
200;84;25;6;26;65529;135
200;85;22;6;26;65526;135
200;85;23;6;27;65526;136
200;86;32;12;27;65529;136
200;86;23;6;27;65526;137
200;86;29;12;27;65526;137
200;86;32;12;27;65529;138
200;87;23;6;27;65526;138
200;87;26;6;27;65529;139
200;88;27;6;28;65529;139
200;89;29;6;28;65531;140
200;89;27;6;28;65529;140
200;89;27;6;28;65529;141
200;89;35;12;28;65531;141
200;90;27;6;28;65529;142
200;90;33;12;28;65529;142
200;91;27;6;28;65529;143
200;92;25;6;29;65526;143
200;92;25;6;29;65526;144
200;92;31;12;29;65526;144
200;93;25;6;29;65526;145
200;93;31;12;29;65526;145
