target temperature;Temperature;PID output;proportional part; integral part;differential part;Calculated temperature;;;;;
200;95;0;0;0;0;95;;;;;
200;95;0;0;0;0;96;;;;;
200;95;0;0;0;0;96;;;;;
200;95;0;0;0;0;97;;;;;
200;95;0;0;0;0;97;;;;;
200;95;0;0;0;0;98;;;;;
200;95;10;10;0;0;98;;;;;
200;95;10;10;0;0;99;;;;;
200;95;20;20;0;0;99;;;;;
200;95;20;20;0;0;100;;;;;
200;95;30;30;0;0;100;;;;;
200;95;31;30;1;0;101;;;;;
200;95;41;40;1;0;101;;;;;
200;95;57;50;2;5;102;;;;;
200;95;52;50;2;0;102;;;;;
200;95;53;50;3;0;103;;;;;
200;95;63;60;3;0;103;;;;;
200;95;64;60;4;0;104;;;;;
200;95;75;70;5;0;104;;;;;
200;95;75;70;5;0;105;;;;;
200;95;86;80;6;0;105;;;;;
200;95;87;80;7;0;106;;;;;
200;95;93;90;8;65531;106;;;;;
200;95;84;80;9;65531;107;;;;;
200;95;100;100;0;0;107;;;;;
200;96;100;100;0;0;109;;;;;
200;96;96;100;1;65531;109;;;;;
200;96;97;100;2;65531;110;;;;;
200;96;100;110;0;65531;110;;;;;
200;96;100;110;0;65531;111;;;;;
200;97;100;120;0;65531;112;;;;;
200;96;100;110;0;65526;112;;;;;
200;97;100;120;0;65531;113;;;;;
200;97;100;120;0;65526;114;;;;;
200;97;100;130;0;65526;114;;;;;
200;98;100;120;0;65526;116;;;;;
200;98;100;130;0;65526;116;;;;;
200;99;100;130;0;65526;118;;;;;
200;99;100;130;0;65521;118;;;;;
200;99;100;130;0;65521;119;;;;;
200;100;100;140;0;65526;120;;;;;
200;100;100;130;0;65521;121;;;;;
200;101;100;140;0;65521;122;;;;;
200;101;100;130;0;65516;123;;;;;
200;102;100;140;0;65521;124;;;;;
200;102;100;130;0;65516;125;;;;;
200;104;100;130;0;65511;127;;;;;
200;104;96;120;1;65511;128;;;;;
200;105;100;130;0;65511;129;;;;;
200;105;91;120;1;65506;130;;;;;
200;106;92;120;2;65506;131;;;;;
200;107;93;120;3;65506;133;;;;;
200;108;94;120;4;65506;134;;;;;
200;109;80;110;5;65501;136;;;;;
200;109;82;110;7;65501;136;;;;;
200;111;73;100;8;65501;139;;;;;
200;111;74;100;9;65501;139;;;;;
200;112;64;90;9;65501;141;;;;;
200;113;65;90;10;65501;142;;;;;
200;114;56;80;11;65501;144;;;;;
200;116;52;80;12;65496;146;;;;;
200;117;43;70;13;65496;148;;;;;
200;118;43;70;13;65496;149;;;;;
200;119;34;60;14;65496;151;;;;;
200;120;35;60;15;65496;152;;;;;
200;121;25;50;15;65496;154;;;;;
200;122;26;50;16;65496;155;;;;;
200;123;16;40;16;65496;157;;;;;
200;124;16;40;16;65496;158;;;;;
200;125;65528;20;17;65491;160;;;;;
200;127;65528;20;17;65491;162;;;;;
200;128;65518;10;17;65491;164;;;;;
200;129;65518;10;17;65491;165;;;;;
200;129;65508;0;17;65491;166;;;;;
200;131;65508;0;17;65491;168;;;;;
200;131;65498;65526;17;65491;169;;;;;
200;132;65498;65526;17;65491;170;;;;;
200;134;65503;65526;17;65496;173;;;;;
200;134;65492;65516;16;65496;173;;;;;
200;135;65482;65506;16;65496;175;;;;;
200;136;65482;65506;16;65496;176;;;;;
200;137;65471;65496;15;65496;178;;;;;
200;138;65486;65506;15;65501;179;;;;;
200;139;65476;65496;15;65501;181;;;;;
200;140;65475;65496;14;65501;182;;;;;
200;141;65465;65486;14;65501;184;;;;;
200;142;65459;65486;13;65496;185;;;;;
200;143;65454;65476;13;65501;187;;;;;
200;143;65453;65476;12;65501;187;;;;;
200;144;65458;65476;12;65506;189;;;;;
200;145;65457;65476;11;65506;190;;;;;
200;145;65446;65466;10;65501;191;;;;;
200;146;65446;65466;10;65501;192;;;;;
200;147;65445;65466;9;65501;194;;;;;
200;148;65444;65466;8;65501;195;;;;;
200;148;65443;65456;7;65501;196;;;;;
200;149;65443;65466;7;65506;197;;;;;
200;150;65442;65456;6;65506;199;;;;;
200;150;65441;65456;5;65501;199;;;;;
200;151;65440;65446;4;65501;200;;;;;
200;151;65439;65456;3;65506;200;;;;;
200;152;65439;65456;3;65511;200;;;;;
200;152;65438;65456;2;65511;200;;;;;
200;153;65437;65446;1;65511;200;;;;;
200;154;65436;65456;0;65516;200;;;;;
200;154;65436;65446;0;65511;200;;;;;
200;154;65436;65456;0;65516;200;;;;;
200;155;65441;65456;0;65521;200;;;;;
200;155;65441;65456;0;65521;200;;;;;
200;156;65441;65456;0;65521;200;;;;;
200;156;65436;65456;0;65516;200;;;;;
200;157;65436;65446;0;65516;200;;;;;
200;157;65441;65456;0;65521;200;;;;;
200;158;65441;65456;0;65521;200;;;;;
200;158;65441;65456;0;65521;200;;;;;
200;158;65451;65466;0;65521;200;;;;;
200;159;65451;65466;0;65521;200;;;;;
200;159;65441;65456;0;65521;200;;;;;
200;160;65451;65466;0;65521;200;;;;;
200;160;65441;65456;0;65521;200;;;;;
200;160;65451;65466;0;65521;200;;;;;
200;160;65451;65466;0;65521;200;;;;;
200;161;65446;65466;0;65516;200;;;;;
200;161;65451;65466;0;65521;200;;;;;
200;162;65446;65466;0;65516;200;;;;;
200;162;65446;65466;0;65516;200;;;;;
200;162;65461;65476;0;65521;200;;;;;
200;162;65461;65476;0;65521;200;;;;;
200;163;65476;65486;0;65526;200;;;;;
200;163;65466;65476;0;65526;200;;;;;
200;163;65476;65486;0;65526;200;;;;;
200;163;65481;65486;0;65531;200;;;;;
200;164;65491;65496;0;65531;200;;;;;
200;164;65481;65486;0;65531;200;;;;;
