target temperature;Temperature;PID output;proportional part; integral part;differential part;Calculated temperature;Set point
200;45;0;0;0;0;45;45
200;45;0;0;0;0;45;45
200;45;0;0;0;0;46;46
200;45;6;6;0;0;46;46
200;44;6;6;0;0;47;46
200;45;12;12;0;0;47;46
200;45;12;12;0;0;48;47
200;45;12;12;0;0;48;47
200;45;13;12;1;0;49;47
200;45;13;12;1;0;49;47
200;45;13;12;1;0;50;47
200;45;13;12;1;0;50;47
200;45;13;12;1;0;51;47
200;45;14;12;2;0;51;47
200;45;14;12;2;0;52;47
200;45;14;12;2;0;52;47
200;45;14;12;2;0;53;47
200;45;14;12;2;0;53;47
200;45;15;12;3;0;54;47
200;45;15;12;3;0;54;47
200;45;15;12;3;0;55;47
200;45;15;12;3;0;55;47
200;45;15;12;3;0;56;47
200;45;16;12;4;0;56;47
200;44;16;12;4;0;57;47
200;45;16;12;4;0;57;47
200;45;16;12;4;0;58;47
200;45;16;12;4;0;58;47
200;45;17;12;5;0;59;47
200;45;17;12;5;0;59;47
200;45;17;12;5;0;60;47
200;45;17;12;5;0;60;47
200;45;17;12;5;0;61;47
200;45;18;12;6;0;61;47
200;45;18;12;6;0;62;47
200;45;18;12;6;0;62;47
200;45;18;12;6;0;63;47
200;45;18;12;6;0;63;47
200;45;19;12;7;0;64;47
200;45;19;12;7;0;64;47
200;45;19;12;7;0;65;47
200;45;19;12;7;0;65;47
200;45;19;12;7;0;66;47
200;45;20;12;8;0;66;47
200;45;20;12;8;0;67;47
200;45;20;12;8;0;67;47
200;45;20;12;8;0;68;47
200;45;20;12;8;0;68;47
200;46;21;12;9;0;69;48
200;46;14;6;9;65535;69;48
200;46;14;6;9;65535;70;48
200;46;20;12;9;65535;70;48
200;46;20;12;9;65535;71;48
200;46;20;12;9;65535;71;48
200;46;21;12;10;65535;72;48
200;46;21;12;10;65535;72;48
200;46;21;12;10;65535;73;48
200;46;21;12;10;65535;73;48
200;46;22;12;10;0;74;48
200;46;23;12;11;0;74;48
200;47;16;6;11;65535;75;49
200;47;22;12;11;65535;75;49
200;47;22;12;11;65535;76;49
200;47;22;12;11;65535;76;49
200;47;22;12;11;65535;77;49
200;47;23;12;12;65535;77;49
